band,sex,primary_dose,secondary_dose,year,population,quantity7,eyetot7,quantity14,eyetot14,quantity21,eyetot21,quantity28,eyetot28,quantity35,eyetot35,dppi40,quantity40,eyetot40,dppi41,quantity41,eyetot41,quantity46,eyetot46,quantity49,eyetot49,quantity56,eyetot56,quantity63,eyetot63,prim_maxeye,prim_maxload,prim_resist,prim_resist10,prim_toleye,prim_inf,presid_old,sec_maxeye,sec_maxload,sec_resist,sec_resist10,sec_toleye,sec_inf,sresid_old
813,f,0,7000,2021,az,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,1350.931044,0,197260.9414,1,10.6105047,0.5,NA,NA,0,0,0,0,0,0,NA,1,197260.9414,197260.9414,5.295043303,1,1,0.313982341
814,f,750,7000,2021,az,109760.2709,1,NA,2,NA,0.5,NA,0,NA,0,NA,NA,NA,41,0,0,1.469526857,0,0,0,0,0,NA,NA,2,109760.2709,109760.2709,5.040449127,2,1,0.068941028,0,1.469526857,0,0,0,0,NA
820,f,750,0,2022,az,11101.04263,1,1686.341507,1.5,NA,2,NA,3,NA,3,40,83490.58328,3,41,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,83490.58328,11101.04263,4.045402891,1.5,1,0.021073511,NA,NA,NA,NA,NA,NA,NA
827,m,0,30,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
830,m,750,0,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
831,m,750,30,2021,az,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,1.240840109,0,4.913082098,0,0,0,1.342809973,0,NA,NA,0,1.240840109,0,0,0,0,NA,0,4.913082098,0,0,0,0,NA
833,m,0,300,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
837,f,750,300,2021,az,35912.62002,0.5,NA,1,NA,0,NA,0,NA,0,NA,NA,NA,41,2.430242668,0,0,0,0,0,0,0,NA,NA,1,35912.62002,35912.62002,4.555259183,1,1,0.168426596,0,0,0,0,0,0,NA
841,f,750,100,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
843,f,750,0,2022,az,28497.12726,0.5,4226.430013,3,NA,3,NA,2.5,NA,2,40,2.808179579,2,41,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,3,28497.12726,28497.12726,4.454816322,3,1,-0.178113515,NA,NA,NA,NA,NA,NA,NA
844,m,750,0,2022,az,10459.0212,1,31730.26198,2,NA,2.5,NA,3,NA,1,40,18.64080334,0,41,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,31730.26198,10459.0212,4.019532565,2,1,-0.065296374,NA,NA,NA,NA,NA,NA,NA
